doc_id,stock_code,company_name,industry,announcement_title,announcement_type,publish_date,url,pdf_url,local_pdf_path,source,crawl_time,download_status,error_message
1220089787,603668,天马科技,,天马科技：天马科技2024年股票期权激励计划（草案）,股权激励计划,2024-05-18,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=603668&announcementId=1220089787,https://static.cninfo.com.cn/finalpage/2024-05-18/1220089787.PDF,data/pdf/603668_1220089787.pdf,cninfo,2026-06-03T12:17:59,success,
1220061972,603908,牧高笛,,牧高笛：牧高笛户外用品股份有限公司2024年股票期权激励计划（草案）,股权激励计划,2024-05-16,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=603908&announcementId=1220061972,https://static.cninfo.com.cn/finalpage/2024-05-16/1220061972.PDF,data/pdf/603908_1220061972.pdf,cninfo,2026-06-03T12:18:01,success,
1220378023,002976,瑞玛精密,,瑞玛精密：2024年股票期权激励计划（草案）,股权激励计划,2024-06-18,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=002976&announcementId=1220378023,https://static.cninfo.com.cn/finalpage/2024-06-18/1220378023.PDF,data/pdf/002976_1220378023.pdf,cninfo,2026-06-03T12:18:10,success,
1219918170,603630,拉芳家化,,拉芳家化：第三期股票期权激励计划（草案）,股权激励计划,2024-04-30,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=603630&announcementId=1219918170,https://static.cninfo.com.cn/finalpage/2024-04-30/1219918170.PDF,data/pdf/603630_1219918170.pdf,cninfo,2026-06-03T12:18:12,success,
1219908494,300783,三只松鼠,,三只松鼠：三只松鼠股份有限公司2024年股票期权激励计划（草案）,股权激励计划,2024-04-30,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=300783&announcementId=1219908494,https://static.cninfo.com.cn/finalpage/2024-04-30/1219908494.PDF,data/pdf/300783_1219908494.pdf,cninfo,2026-06-03T12:18:12,success,
1219879171,603151,邦基科技,,邦基科技：山东邦基科技股份有限公司2024年股票期权激励计划（草案）,股权激励计划,2024-04-27,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=603151&announcementId=1219879171,https://static.cninfo.com.cn/finalpage/2024-04-27/1219879171.PDF,data/pdf/603151_1219879171.pdf,cninfo,2026-06-03T12:18:16,success,
1219772786,002970,锐明技术,,锐明技术：2024年股票期权激励计划（草案）,股权激励计划,2024-04-24,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=002970&announcementId=1219772786,https://static.cninfo.com.cn/finalpage/2024-04-24/1219772786.PDF,data/pdf/002970_1219772786.pdf,cninfo,2026-06-03T12:18:27,success,
1219763922,603286,日盈电子,电子,日盈电子：2024年限制性股票与股票期权激励计划（草案）,股权激励计划,2024-04-24,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=603286&announcementId=1219763922,https://static.cninfo.com.cn/finalpage/2024-04-24/1219763922.PDF,data/pdf/603286_1219763922.pdf,cninfo,2026-06-03T12:18:27,success,
1219553244,603220,中贝通信,,中贝通信：2024年股票期权激励计划（草案）,股权激励计划,2024-04-10,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=603220&announcementId=1219553244,https://static.cninfo.com.cn/finalpage/2024-04-10/1219553244.PDF,data/pdf/603220_1219553244.pdf,cninfo,2026-06-03T12:18:38,success,
1219537254,001308,康冠科技,,康冠科技：2024年股票期权激励计划（草案）,股权激励计划,2024-04-09,https://www.cninfo.com.cn/new/disclosure/detail?stockCode=001308&announcementId=1219537254,https://static.cninfo.com.cn/finalpage/2024-04-09/1219537254.PDF,data/pdf/001308_1219537254.pdf,cninfo,2026-06-03T12:18:38,success,
