stock_code,company_name,employee_count,status,source
002664,信质集团,3557,成功,原数据
300054,鼎龙股份,8158,成功,原数据
688698,伟创电气,11323,成功,原数据
300628,亿联网络,4088,成功,东方财富API
603986,兆易创新,2347,成功,手动填充
003030,祖名股份,2715,成功,东方财富API
002245,蔚蓝锂芯,2321,成功,东方财富API
603700,宁水集团,1500,成功,东方财富API
002180,纳思达,2685,成功,东方财富API
301326,捷邦科技,19986,成功,东方财富API
301126,达嘉维康,1488,成功,东方财富API
600320,振华重工,565,成功,原数据
688102,斯瑞新材,5613,成功,东方财富API
603712,七一二,2625,成功,原数据
300745,欣锐科技,5297,成功,原数据
002044,美年健康,888,成功,原数据
300489,光智科技,15858,成功,原数据
002609,捷顺科技,1255,成功,原数据
600718,东软集团,1267,成功,原数据
000659,珠海中富,508,成功,原数据
002311,海大集团,6828,成功,原数据
003013,地铁设计,1661,成功,原数据
600026,中远海能,2717,成功,原数据
688301,奕瑞科技,21460,成功,东方财富API
835368,连城数控,4561,成功,东方财富API
000035,中国天楹,860,成功,东方财富API
603345,安井食品,11250,成功,东方财富API
002865,钧达股份,11668,成功,东方财富API
000670,盈方微,1123,成功,东方财富API
601899,紫金矿业,4494,成功,原数据
02899,紫金矿业,4494,成功,同公司填充(原数据)
603602,纵横通信,1775,成功,东方财富API
002930,宏川智慧,1688,成功,原数据
831961,"创远仪器,创远信科",2620,成功,原数据
002766,索菱股份,806,成功,原数据
300014,亿纬锂能,9421,成功,原数据
300443,金雷股份,3420,成功,原数据
002212,天融信,1362,成功,原数据
605228,神通科技,2040,成功,原数据
002174,游族网络,1815,成功,原数据
603906,龙蟠科技,3452,成功,原数据
603197,保隆科技,4667,成功,原数据
601231,环旭电子,4938,成功,原数据
603236,移远通信,8044,成功,原数据
002695,煌上煌,1638,成功,原数据
688155,先惠技术,10707,成功,东方财富API
603718,海利生物,786,成功,东方财富API
300700,岱勒新材,2112,成功,东方财富API
002426,胜利精密,481,成功,东方财富API
300665,飞鹿股份,1285,成功,东方财富API
600745,闻泰科技,5080,成功,东方财富API
688622,禾信仪器,16603,成功,东方财富API
002587,奥拓电子,737,成功,原数据
688561,奇安信,7430,成功,手动填充
603708,家家悦,1416,成功,东方财富API
603679,华体科技,2124,成功,原数据
300925,法本信息,2807,成功,原数据
002120,韵达股份,906,成功,原数据
603588,高能环境,1856,成功,原数据
001313,粤海饲料,996,成功,原数据
688359,三孚新科,14600,成功,原数据
