company_name,stock_code,Generosity Score,Cluster
亿纬锂能,300014,0.074469,2
金雷股份,300443,0.0735,2
天融信,2212,0.072602,0
神通科技,605228,0.070863,2
游族网络,2174,0.069922,1
龙蟠科技,603906,0.069796,2
保隆科技,603197,0.06953,0
环旭电子,601231,0.069329,2
移远通信,603236,0.06846,2
煌上煌,2695,0.067653,1
先惠技术,688155,0.067637,2
海利生物,603718,0.067582,0
岱勒新材,300700,0.065493,0
胜利精密,2426,0.065215,1
飞鹿股份,300665,0.065201,2
闻泰科技,600745,0.065153,2
禾信仪器,688622,0.064957,1
奥拓电子,2587,0.064023,2
奇安信,688561,0.064011,2
家家悦,603708,0.063587,2
华体科技,603679,0.063083,2
法本信息,300925,0.060448,2
韵达股份,2120,0.060437,2
高能环境,603588,0.060385,2
粤海饲料,1313,0.06037,2
三孚新科,688359,0.058001,0
苏州科达,603660,0.057411,2
瑞茂通,600180,0.055828,0
思源电气,2028,0.054009,0
柳    工,528,0.053638,2
歌力思,603808,0.053402,2
爱旭股份,600732,0.05335,2
直真科技,3007,0.052348,2
香飘飘,603711,0.052104,2
遥望科技,2291,0.052001,2
绿盟科技,300369,0.051426,0
华岭股份,430139,0.050608,2
悦心健康,2162,0.049681,1
爱玛科技,603529,0.04877,1
同力股份,834599,0.0481,2
淳中科技,603516,0.047959,1
兴业科技,2674,0.047436,2
振江股份,603507,0.047276,0
因赛集团,300781,0.047037,1
禾望电气,603063,0.045772,2
神州信息,555,0.044958,1
ST同洲,2052,0.041369,2
济民医疗,603222,0.040575,1
铂科新材,300811,0.038137,2
欧菲光,2456,0.036738,2
长园集团,600525,0.035196,2
元隆雅图,2878,0.034412,2
神雾节能,820,0.032813,1
