doc_id,company_name,stock_code,grant_amount,grant_ratio,participant_count,exercise_price,market_price,discount_rate,waiting_period,validity_period,employee_count,participant_ratio
1224387868,盈新发展,620,5000.0,0.85,90.0,1.66,1.61,-3.11,12.0,48.0,409.0,22.0049
1224330159,神马电力,603530,974.41,18.28,61.0,26.47,26.47,0.0,12.0,60.0,7393.0,0.8251
1224330361,鹏辉能源,300438,1560.0,1.0,319.0,21.59,26.98,19.98,12.0,48.0,9271.0,3.4408
1224650866,凯中精密,2823,96.1,42.04,11.0,12.6,16.79,24.96,12.0,36.0,2135.0,0.5152
1224651515,乐心医疗,300562,200.0,28.91,40.0,15.21,14.9,-2.08,12.0,36.0,1098.0,3.643
1224269819,华胜天成,600410,2000.0,17.8647,8.0,7.9,9.86,19.88,20.0,60.0,3431.0,0.2332
1224215903,超讯通信,603322,1100.0,20.012,49.0,30.94,38.67,19.99,36.0,36.0,6000.0,0.8167
1224616327,柳药集团,603368,287.2,19.7,108.0,18.12,18.12,0.0,12.0,36.0,2092.0,5.1625
1224058147,海量数据,603138,1765.9962,16.3076,10.0,12.84,14.27,10.02,45.0,117.0,2490.0,0.4016
1224561796,复星医药,600196,572.61,0.2144,201.0,27.93,27.93,0.0,12.0,60.0,3310.0,6.0725
1224561923,复星医药,2196,572.61,0.2144,201.0,27.93,27.93,0.0,12.0,60.0,3310.0,6.0725
1223954372,日辰股份,603755,228.0,1.0,26.0,26.63,24.78,-7.47,12.0,48.0,4092.0,0.6354
1224462917,超图软件,300036,1050.0,4.76,351.0,16.38,16.3722,-0.05,12.0,60.0,2280.0,15.3947
1223888797,深圳新星,603978,200.0,25.0,6.0,13.33,16.66,19.99,12.0,36.0,3982.0,0.1507
1224145530,奥尼电子,301189,200.0,29.09,44.0,27.08,27.08,0.0,12.0,48.0,11500.0,0.3826
1223697465,新国都,300130,1900.0,1.58,73.0,25.0,21.16,-18.15,12.0,36.0,3935.0,1.8551
1223544845,诺德股份,600110,3500.0,2.02,124.0,3.41,3.49,2.29,12.0,60.0,1319.0,9.4011
1223496663,歌尔股份,2241,6806.0,1.95,6302.0,22.21,21.0,-5.76,12.0,36.0,4034.0,156.2221
1223490568,君逸数码,301172,500.0,4.0584,45.0,26.8,26.7906,-0.04,12.0,48.0,4180.0,1.0766
1223417952,菲沃泰,688371,465.8312,1.0,15.0,16.0,15.2,-5.26,12.0,60.0,4439.0,0.3379
1223410764,焦点科技,2315,1532.4,29.38,1153.0,29.04,38.72,25.0,12.0,48.0,4828.0,23.8815
1223848536,罗普特,688619,550.0,19.82,26.0,10.06,10.06,0.0,12.0,48.0,2118.0,1.2276
1223374233,圆通速递,600233,1130.3,20.26,140.0,10.52,13.15,20.0,12.0,12.0,2286.0,6.1242
1223380628,味知香,605089,270.0,1.0,93.0,19.22,23.87,19.48,12.0,60.0,3337.0,2.7869
1223379358,老板电器,2508,1111.94,29.0153,372.0,17.58,21.2,17.08,12.0,48.0,2200.0,16.9091
1223348592,立讯精密,2475,33913.1098,0.68,3126.0,25.35,31.67,19.96,12.0,84.0,8178.0,38.2245
1222925629,开普云,688228,150.0,19.0817,120.0,57.84,57.84,0.0,12.0,48.0,27981.0,0.4289
1222895931,璞泰来,603659,3804.7196,19.0258,262.0,15.43,19.28,19.97,12.0,60.0,3766.0,6.957
1222881781,兆新股份,2256,15638.7825,1.0,88.0,2.06,2.47,16.6,12.0,60.0,575.0,15.3043
1222870272,沃尔核材,2130,823.38,0.65,493.0,21.73,21.67,-0.28,12.0,36.0,8749.0,5.6349
