Rank,stock_code,company_name,Generosity Score
94,2674,兴业科技,0.151
95,603516,淳中科技,0.150068
96,603602,纵横通信,0.145572
97,688622,禾信仪器,0.143543
98,2609,捷顺科技,0.139563
99,2256,兆新股份,0.138084
100,3012,东鹏控股,0.137947
101,600570,恒生电子,0.137005
102,2293,罗莱生活,0.135729
103,603712,七一二,0.133301
104,603718,海利生物,0.124225
105,688561,奇安信,0.118748
106,2322,理工能科,0.118458
107,603711,香飘飘,0.117096
108,688389,普门科技,0.115843
109,833914,远航精密,0.114385
110,2587,奥拓电子,0.113759
111,603115,海星股份,0.112953
112,300497,富祥药业,0.11274
113,600110,诺德股份,0.109851
114,2456,欧菲光,0.109171
115,2655,共达电声,0.107747
116,2032,苏 泊 尔,0.103446
117,300489,光智科技,0.102395
118,835368,连城数控,0.10207
119,300745,欣锐科技,0.099363
120,603197,保隆科技,0.095313
121,2976,瑞玛精密,0.094205
122,600552,凯盛科技,0.093808
123,603906,龙蟠科技,0.091085
124,301126,达嘉维康,0.090441
125,603350,安乃达,0.088775
126,872953,国子软件,0.08871
127,301191,菲菱科思,0.088053
128,601231,环旭电子,0.087832
129,300844,山水比德,0.083626
130,300379,东方通,0.082939
131,300443,金雷股份,0.081911
132,831961,"创远仪器,创远信科",0.081583
133,301326,捷邦科技,0.080403
134,2245,蔚蓝锂芯,0.077392
135,603063,禾望电气,0.077118
136,2196,复星医药,0.075333
137,600196,复星医药,0.075333
138,603151,邦基科技,0.075168
139,2371,北方华创,0.075077
140,605188,国光连锁,0.074469
141,301172,君逸数码,0.0735
142,2052,ST同洲,0.072602
143,688180,君实生物,0.070863
144,603700,宁水集团,0.069922
145,300054,鼎龙股份,0.069796
146,300628,亿联网络,0.06953
147,1366,播恩集团,0.069329
148,2130,沃尔核材,0.06846
149,2878,元隆雅图,0.067653
150,2865,钧达股份,0.067637
151,2463,沪电股份,0.067582
152,603986,兆易创新,0.065493
153,605089,味知香,0.065215
154,300438,鹏辉能源,0.065201
155,300811,铂科新材,0.065153
156,300591,万里马,0.064957
157,670,盈方微,0.064023
158,430139,华岭股份,0.064011
159,603286,日盈电子,0.063587
160,603778,国晟科技,0.063083
161,1309,德明利,0.060448
162,3007,直真科技,0.060437
163,605111,新洁能,0.060385
164,300925,法本信息,0.06037
165,833030,立方控股,0.058001
166,688301,奕瑞科技,0.057411
167,301391,卡莱特,0.055828
168,2766,索菱股份,0.054009
169,603908,牧高笛,0.053638
170,688696,极米科技,0.053402
171,836395,朗鸿科技,0.05335
172,300803,指南针,0.052348
173,1229,魅视科技,0.052104
174,834599,同力股份,0.052001
175,300130,新国都,0.051426
176,301248,杰创智能,0.050608
177,603630,拉芳家化,0.049681
178,3030,祖名股份,0.04877
179,688160,步科股份,0.0481
180,2028,思源电气,0.047959
181,688371,菲沃泰,0.047436
182,2959,小熊电器,0.047276
183,600026,中远海能,0.047037
184,603839,安正时尚,0.045772
185,603755,日辰股份,0.044958
186,300700,岱勒新材,0.041369
187,1288,运机集团,0.040575
188,603598,引力传媒,0.038137
189,2212,天融信,0.036738
190,300014,亿纬锂能,0.035196
191,603507,振江股份,0.034412
192,688359,三孚新科,0.032813
